"","URUT","R101","R101_NAMA","R105","R108","R111","R201","R201A","R201B","B4K1","B4K3","B4K4","B4K5","B4K6","B4K7","LAMA_TINGG","R501","R502","R503","R504A","R504B","R504C","R505","R601A","R601B1","R601B2","R602A1","R602A2","R602B","R603","R604A","R604B","R604C","R604D","R604E","R604F","R604G","R605","R606","R607","R608","R609A","R609B","R609C","R610","R701A","R701B","R702A","R702B","R703A1","R703A2","R703B","R704A","R704B","R704C","R704D","R704E","R704F","R704G","R704H","R705A","R705B1","R705B2","R705B3","R705B4","R705B5","R705B6","R706A","R706B","R706C","R706D","R706E","R706F","R706G","R706H","R706I","R706J","R707A","R707B","R707C","R708","R801A","R801B","R801C","R801D","R802","R901","R902A","R902B1","R902B2","R902B3","R902B4","R902B5","R902C","R903","R1001A","R1001B","R1001C","R1002A","R1002B","R1002C","R1002D","R1002E","R1002F","R1002G","R1002H","R1002I","R1002J","R1003A","R1003B","R1003C","R1003D","R1003E","R1003F","R1003G","R1003H","R1003I","R1003J","R1004A","R1004B","R1004C","R1004D","R1004E","R1004F","R1005","R1101A1","R1101A2","R1101A3","R1101A4","R1101A5","R1101B1","R1101B2","R1101B3","R1101C","R1102","R1103AK2","R1103BK2","R1103CK2","R1103DK2","R1103EK2","R1103FK2","R1103GK2","R1103HK2","R1103IK2","R1103JK2","R1103AK3","R1103BK3","R1103CK3","R1103DK3","R1103EK3","R1103FK3","R1103GK3","R1103HK3","R1103IK3","R1103JK3","R1103AK4","R1103BK4","R1103CK4","R1103DK4","R1103EK4","R1103FK4","R1103GK4","R1103HK4","R1103IK4","R1103JK4","R1103AK5","R1103BK5","R1103CK5","R1103DK5","R1103EK5","R1103FK5","R1103GK5","R1103HK5","R1103IK5","R1103JK5","R1103AK6","R1103BK6","R1103CK6","R1103DK6","R1103EK6","R1103FK6","R1103GK6","R1103HK6","R1103IK6","R1103JK6","R1103AK7","R1103BK7","R1103CK7","R1103DK7","R1103EK7","R1103FK7","R1103GK7","R1103HK7","R1103IK7","R1103JK7","R1104A","R1104B","R1104C","R1105","R1106A","R1106B","R1107A","R1107B","R1108","R1201","R1202","R1203","R1204","R1205","R1206A","R1206B","R1207","R1208","R1209","R1210A","R1210B","R1210C","R1210D","R1210E","R1211","R1301A","R1301B","R1301C","R1302","R1303A","R1303B","R1303C","R1304","R1305A","R1305B","R1305C","R1305D","R1306","R1401A","R1401B","R1401C","R1401D","R1402","R1403A","R1403B","R1403C","R1404","R1405A","R1405B","R1405C","R1406","R1407A","R1407B","R1408","R1409A","R1409B","R1410","R1411A","R1411B","R1411C","R1412","R1501","R1502","R1601A","R1601B","R1602","R1603","R1604A","R1604B","R1605A","R1605B","R1605C","R1605D","R1605E","R1606","R1607A","R1607B","R1608A","R1608B","R1608C","R1609A","R1609B1","R1609B2","R1609B3","R1609B4","R1609B5","R1609B6","R1609C","R1610","R1611","R1612","R1613A","R1613B","R1613C","R1614","R1615","R1616"
"5096",5096,12,"Sumatera Utara",2,7,1,8,4,4,1,1,1,42,2,1,42,1,2,2,1,1,1,0,1,NA,NA,1,2,2,4,2,2,2,2,2,2,1,3,3,1,2,5,3,1,2,2,2,2,NA,2,4,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,3,8,54,10,2,2,2,1,2,3,6,5,5,1,7,7,6,6,6,5,5,4,4,6,8,8,8,9,8,5,7,8,9,6,3,7,2,5,8,6,8,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,9,1,30,1,1,3,2,3,1,5,3,1,2,2,1,2,7,1,1,2,5,3,1,2,5,1,1,1,3,5,3,3,3,2,8,3,2,3,5,1,1,3,4,3,2,6,3,2,4,4,2,1,7,5,5,6,0,1,1,1,1,3,2,1,3,4,5,5,"X",1,NA,"A",1,2,2,2,2,2,2,NA,4,4,4,3,NA,NA,1,4,4
"8666",8666,13,"Sumatera Barat",1,10,1,5,2,3,2,2,2,37,2,9,17,9,1,2,2,1,2,9,1,NA,NA,15,4,2,1,1,1,1,1,1,1,1,10,1,1,1,1,1,NA,10,2,1,2,NA,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,3,1,3,10,72,21,2,1,1,1,2,2,9,5,5,5,9,8,8,8,8,8,8,8,8,7,7,7,9,9,9,9,10,8,10,9,7,7,3,7,7,7,4,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,9,1,96,1,1,3,1,1,1,4,4,1,1,1,1,2,9,1,1,3,9,1,1,1,1,1,1,1,3,0,3,3,3,3,10,2,2,1,9,1,1,1,8,2,2,9,1,1,8,2,3,4,8,10,9,10,10,1,1,1,1,1,1,2,1,1,1,5,"X",1,NA,"D",1,1,2,2,2,2,2,"B",3,2,3,2,NA,3,2,4,1
"38950",38950,35,"Jawa Timur",2,7,1,1,0,1,1,1,2,67,4,1,67,1,2,1,1,1,1,10,1,NA,NA,16,1,2,5,1,1,1,1,1,1,1,8,2,2,2,5,2,NA,5,2,2,2,NA,2,4,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,5,1,2,1,3,7,66,56,2,2,2,1,2,3,7,5,4,1,8,6,7,7,8,8,7,8,7,8,8,6,7,8,7,2,2,5,6,6,6,7,7,6,5,7,6,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,5,2,4,4,7,1,24,3,2,1,1,3,4,4,3,2,2,2,2,2,4,2,1,1,5,1,2,2,5,2,1,2,3,5,3,3,3,3,3,2,2,3,5,2,2,1,5,4,1,6,1,2,7,3,4,4,5,5,4,3,3,2,4,2,NA,4,3,4,4,4,3,1,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,3,2,NA,1,1,4,4
"42552",42552,35,"Jawa Timur",2,8,1,4,2,2,1,1,1,58,2,1,54,1,2,2,1,1,1,0,1,NA,NA,1,2,1,1,1,1,1,1,1,1,1,10,1,1,2,3,2,NA,10,2,2,2,NA,2,3,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,2,1,2,1,1,1,1,10,1,2,1,3,10,49,28,2,2,2,1,2,2,8,5,5,4,10,10,5,5,5,5,5,5,5,5,10,10,10,0,10,10,0,10,10,0,10,0,0,0,0,0,10,2,2,2,2,2,2,2,2,3,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,4,5,1,150,1,1,1,1,1,1,4,4,1,2,1,1,2,10,1,1,3,10,1,1,1,0,1,1,1,3,0,3,3,3,3,10,3,2,3,10,1,1,1,10,1,3,10,2,1,10,2,3,3,10,9,10,15,5,1,3,1,1,1,1,1,3,4,2,5,"X",1,NA,"ABE",1,2,2,2,2,2,2,NA,1,2,2,2,NA,3,2,3,1
"9411",9411,13,"Sumatera Barat",1,4,1,6,4,2,1,1,1,62,4,4,62,4,2,2,1,1,1,8,1,NA,NA,3,2,2,2,1,1,1,1,1,1,1,8,3,2,2,3,2,NA,8,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,3,1,3,8,48,24,1,2,2,1,2,2,8,5,5,2,9,9,9,8,8,8,7,7,8,8,7,7,7,7,7,6,7,8,8,6,3,6,3,3,3,3,6,2,2,2,2,2,2,2,2,3,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,7,1,104,1,1,3,1,1,1,4,4,1,2,1,1,2,9,1,1,3,9,1,1,1,8,1,1,1,3,6,3,3,3,3,8,1,1,1,8,1,1,1,8,1,3,8,2,1,8,1,1,3,7,10,10,5,5,2,1,1,2,1,1,1,1,1,2,5,"A",1,NA,"B",1,1,1,1,2,2,2,"D",2,2,4,1,1,NA,1,4,2
"29291",29291,33,"Jawa Tengah",1,12,1,2,1,1,2,2,2,60,2,3,60,3,2,1,1,3,1,6,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5,3,4,5,2,2,2,NA,2,4,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,7,1,3,1,3,8,35,21,1,2,2,1,2,2,7,5,4,2,8,8,7,7,7,7,7,7,7,7,8,8,6,4,7,4,7,7,8,8,4,4,7,4,7,7,8,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,9,1,28,1,1,1,1,1,2,4,2,2,2,1,2,2,6,1,1,1,7,2,1,1,5,2,1,1,3,4,2,2,2,2,7,2,3,3,6,1,2,2,5,2,2,6,3,2,6,2,2,3,5,7,8,4,3,2,1,1,2,3,4,1,3,4,1,5,"X",1,NA,"ABE",2,NA,NA,NA,NA,NA,NA,NA,4,1,3,2,NA,2,1,4,1
"10847",10847,14,"Riau",1,6,1,5,3,2,2,2,2,34,2,5,15,5,2,1,1,1,3,7,1,NA,NA,7,1,2,3,1,1,1,1,1,1,1,6,3,1,1,1,2,NA,7,3,3,2,NA,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,1,1,1,1,1,2,1,2,1,1,1,1,5,1,3,1,3,7,24,36,1,2,1,1,2,2,8,5,3,3,7,8,8,6,5,5,5,3,5,4,7,8,8,4,7,8,8,8,9,8,7,7,3,2,1,3,8,1,1,2,2,2,1,2,1,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,1,4,4,9,1,120,1,1,3,1,1,1,2,4,1,2,1,1,1,7,1,1,2,7,1,1,1,2,2,2,3,3,5,3,2,2,3,6,1,1,1,6,1,1,2,7,1,3,7,1,1,7,1,3,2,7,7,9,8,8,1,2,1,1,4,1,4,3,1,1,5,"X",1,NA,"ABE",1,2,2,2,2,2,2,NA,1,1,2,1,2,NA,1,2,1
"14150",14150,16,"Sumatera Selatan",2,2,1,2,1,1,1,1,1,58,2,1,58,1,2,2,1,3,1,4,1,NA,NA,1,2,1,5,1,1,2,1,2,2,1,6,3,2,2,5,3,6,5,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,1,3,8,35,14,1,1,2,2,2,2,7,5,4,3,8,8,2,8,2,2,2,3,7,7,10,9,8,9,4,9,9,6,10,10,2,6,8,6,7,3,10,2,2,2,2,2,2,2,2,3,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,4,1,4,4,8,1,36,1,2,1,1,1,1,4,1,2,2,1,2,2,2,1,1,2,7,3,1,3,5,1,2,1,3,4,3,3,3,1,8,1,3,1,7,3,1,3,6,1,3,9,3,2,7,3,3,3,7,7,7,2,0,1,2,1,1,1,1,1,1,1,1,1,NA,1,NA,"D",1,1,1,2,2,2,2,"F",4,1,4,2,NA,1,1,4,4
"5047",5047,12,"Sumatera Utara",2,6,1,3,2,1,1,1,2,54,4,2,37,2,2,1,1,1,1,6,1,NA,NA,1,2,2,3,1,1,1,1,1,1,1,8,2,1,2,4,2,NA,8,2,2,2,NA,2,4,1,1,2,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,1,2,2,1,1,1,1,2,1,1,1,1,1,7,1,3,1,3,9,36,20,2,2,2,1,2,2,8,5,5,1,8,8,4,4,3,3,7,3,1,1,8,8,8,2,8,4,8,8,8,8,1,1,1,1,1,1,8,2,2,2,2,2,2,2,2,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,9,1,120,1,2,3,1,3,1,6,2,1,2,2,1,2,8,1,1,3,8,2,1,2,7,1,2,2,3,2,2,1,3,2,8,1,2,4,7,1,1,3,3,2,2,8,3,1,7,1,2,3,9,8,8,13,5,1,1,2,NA,3,2,1,4,4,1,5,"X",1,NA,"AB",2,NA,NA,NA,NA,NA,NA,NA,4,1,3,2,NA,1,1,4,1
"27206",27206,32,"Jawa Barat",1,5,1,1,0,1,1,1,2,56,2,3,56,3,2,2,1,2,1,4,1,NA,NA,17,1,2,5,1,2,2,1,2,2,1,6,3,2,2,5,2,NA,6,2,1,2,NA,2,4,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,3,10,49,21,1,2,2,2,2,1,7,5,4,3,9,8,8,8,8,9,4,4,3,3,7,7,7,7,2,8,7,6,8,7,5,5,5,5,5,3,6,2,2,2,2,2,2,2,2,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,1,2,1,4,4,7,1,36,1,1,1,1,1,1,4,4,2,2,2,2,2,7,1,1,1,7,2,3,3,6,1,1,1,3,5,3,3,3,3,7,1,3,3,7,1,1,3,3,3,2,5,2,2,7,1,3,2,7,6,8,5,5,2,1,1,1,4,4,4,4,4,2,3,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,NA,3,1,4,1
"36452",36452,34,"Di Yogyakarta",1,8,1,3,1,2,2,2,2,57,2,5,33,5,2,1,1,3,2,7,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,4,2,NA,5,2,1,2,NA,2,4,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,7,1,4,1,3,8,70,35,1,1,2,1,2,1,7,4,4,5,8,6,6,7,6,6,8,7,5,6,7,7,7,7,6,6,6,6,10,8,4,5,5,4,4,5,9,2,2,2,2,2,2,2,2,3,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,4,2,4,4,7,2,100,1,2,1,1,1,1,4,3,1,1,1,1,1,6,1,1,4,9,2,1,2,5,2,2,2,3,4,2,2,2,2,6,1,2,2,4,2,1,2,6,1,3,8,2,1,6,2,2,2,6,7,8,5,2,1,2,1,2,1,1,1,3,1,2,5,"CD",1,NA,"ABEF",1,1,2,2,2,2,2,"F",1,2,3,2,NA,2,3,1,1
"40677",40677,35,"Jawa Timur",2,2,1,5,2,3,1,1,1,59,2,3,59,3,2,1,1,1,1,8,1,NA,NA,6,4,1,2,1,1,1,1,1,1,1,8,1,1,1,2,1,NA,7,2,1,2,NA,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,9,1,3,2,4,8,63,14,1,2,2,1,2,2,8,5,5,5,7,7,8,8,7,6,6,6,6,7,8,9,8,7,7,7,8,7,9,7,7,2,1,5,7,7,8,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,4,4,8,1,150,1,1,1,1,1,1,6,4,1,2,1,1,1,8,1,1,3,7,1,1,1,2,1,1,1,3,2,3,2,3,2,8,1,2,2,8,1,1,1,8,2,2,8,1,1,7,2,3,3,8,8,8,6,6,1,2,1,1,4,1,4,1,1,1,5,"CX",1,NA,"ABCDE",1,2,2,2,2,2,2,NA,3,1,4,2,NA,3,3,4,1
"70113",70113,82,"Maluku Utara",2,5,1,4,2,2,1,1,1,35,2,3,35,3,2,2,1,2,2,4,2,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,5,3,5,5,2,2,2,NA,2,3,NA,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,3,2,3,8,30,45,2,2,2,1,2,2,9,5,4,1,7,8,4,4,7,9,9,2,5,8,1,7,7,5,8,6,8,9,9,8,3,3,7,7,8,6,9,1,1,1,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,9,1,90,1,1,3,1,3,3,6,4,2,2,2,1,2,5,1,1,3,8,2,1,2,4,1,2,1,3,7,2,3,3,2,9,2,2,2,9,3,1,3,6,1,2,8,3,2,6,2,3,3,8,9,9,3,3,1,1,2,NA,2,2,1,3,2,1,3,NA,2,2,NA,1,1,1,1,2,2,2,"B",4,1,3,2,NA,3,1,4,1
"28136",28136,32,"Jawa Barat",1,3,1,4,1,3,2,2,2,29,2,5,10,5,2,2,1,3,3,9,1,NA,NA,17,4,2,5,2,2,1,1,1,1,1,9,2,2,2,3,3,5,4,2,2,2,NA,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,8,1,3,1,3,8,42,35,1,2,1,1,1,2,8,4,4,1,8,8,9,7,7,7,7,8,8,8,9,9,8,5,8,7,9,8,10,8,8,2,3,3,3,2,8,2,2,2,2,2,2,2,2,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,4,4,4,4,8,1,100,1,1,4,1,1,1,4,4,1,2,1,1,1,9,1,1,3,8,3,3,1,1,1,2,1,3,1,3,2,2,3,10,3,3,1,9,1,1,1,7,2,3,8,2,1,9,1,3,3,8,9,9,6,3,1,1,1,1,1,1,1,1,1,2,5,"B",1,NA,"D",1,2,2,2,2,2,2,NA,4,2,1,2,NA,3,3,4,1
"4698",4698,12,"Sumatera Utara",1,4,1,3,1,2,2,2,2,42,2,4,2,4,2,1,1,2,1,3,2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,5,3,1,4,2,2,1,"Hipertensi",2,4,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,7,1,4,2,3,9,42,49,1,2,2,1,1,2,10,5,3,5,10,10,7,7,7,7,7,7,7,7,10,10,7,3,4,8,10,8,9,9,2,4,2,2,3,6,9,9,1,1,1,1,2,2,2,3,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,1,3,3,4,4,8,2,42,1,1,3,1,1,1,2,4,1,2,1,1,2,8,1,1,2,9,3,1,2,4,1,1,1,1,1,2,3,3,3,8,3,3,2,9,1,1,1,4,1,3,7,3,2,8,3,3,3,9,9,10,5,5,1,1,1,1,1,1,1,3,1,1,5,"BF",1,NA,"ABCDE",2,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,NA,2,1,1,1
"46598",46598,51,"Bali",2,4,1,4,2,2,1,1,1,53,2,3,53,3,2,1,1,2,3,6,1,NA,NA,9,4,2,4,1,1,2,1,1,1,1,7,2,2,2,4,2,NA,6,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,3,1,3,8,63,7,1,2,2,1,2,2,7,5,5,5,8,7,8,8,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,8,7,5,7,6,7,7,8,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,8,1,79,1,1,1,1,3,1,3,4,1,2,1,1,2,7,1,1,2,7,1,1,1,4,2,1,1,3,4,3,2,3,3,8,3,2,3,7,1,1,1,7,2,2,7,2,1,7,2,3,3,7,7,8,10,8,1,2,1,1,3,2,2,1,3,1,5,"C",1,NA,"A",1,2,2,2,2,2,2,NA,2,3,1,2,NA,1,3,3,1
"65371",65371,73,"Sulawesi Selatan",1,3,1,2,2,0,1,1,1,24,1,5,2,5,1,2,1,2,4,8,1,NA,NA,8,4,2,1,1,1,1,1,1,1,1,9,1,1,2,1,1,NA,8,2,2,2,NA,2,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,3,1,1,1,1,1,1,1,3,1,1,10,1,3,1,3,10,80,60,2,2,1,2,1,1,7,5,5,5,8,6,9,7,8,8,8,8,7,8,7,7,3,2,6,3,9,8,8,8,8,7,8,8,8,8,7,2,2,2,2,2,2,2,2,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,1,4,4,7,3,90,1,1,3,1,1,1,2,4,1,1,1,1,1,7,1,1,2,7,2,3,1,3,1,1,1,3,4,3,1,2,1,8,2,3,1,6,2,3,3,7,3,2,8,2,1,8,1,2,3,7,9,9,9,8,2,2,1,2,2,2,2,2,4,2,5,"D",1,NA,"ABCE",1,2,2,2,2,2,2,NA,4,1,4,3,NA,NA,1,4,1
"808",808,11,"Aceh",2,10,1,3,1,2,1,1,1,58,2,2,55,2,2,2,1,3,2,8,1,NA,NA,1,4,2,3,2,1,1,2,2,2,1,7,2,2,2,4,2,NA,7,2,1,2,NA,2,4,6,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,2,1,3,7,56,15,1,1,2,1,1,2,7,5,5,5,8,8,7,8,7,7,6,8,7,7,7,9,7,3,7,3,7,6,8,7,1,8,8,8,8,6,8,2,2,2,2,2,2,2,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,4,4,8,1,56,1,1,3,1,1,1,4,4,1,1,1,1,2,8,1,1,2,7,1,2,1,3,1,1,1,3,3,3,3,3,3,7,1,3,3,7,1,1,2,3,1,2,7,1,2,7,3,3,3,7,7,7,13,7,2,1,1,1,4,3,3,2,4,2,5,"BCX",1,NA,"BDE",1,1,2,2,2,2,2,"AE",4,1,4,2,NA,1,1,4,1
